uniprot_id,job_id_single,job_id_multiple
P9WGY9,,
P9WH63,1714391865865053,1714391872294267
P9WIE5,,
I6XD65,1714392106006936,17143921291712575
P9WG57,,17143922183077087
P9WNL9,17143922590554936,17143922881255066
P9WNL7,1714392539023,17143925670379493
P9WNF9,17143928181468103,17143928429807997
P9WG47,17146508733702304,17143929725930293
P9WNE1,17143932069564393,17143932236606405
P9WMY7,1714393285389318,17143933108107245
O06393,17143934719415178,17143934878385074
P9WGY7,17143935611838548,17143935916843286
P9WJV1,17143938715267456,17143939003591013
P9WJS7,17143941462438526,17143941550968544
P9WJX9,1714394161392236,17143941820110724
,,
P9WH43,17143942180313387,17143942407421916
P9WI73,,
Q79FI8,,17143944382110436
P9WQM5,,
P9WQB1,17143947456420817,17143947637337515
P9WNF7,17143947884594595,1714394811394043
P9WIQ3,17143948882052832,1714394914433725
L7N665,,1714395033379965
O53582,171439508562397,17143951109323113
P9WF37,17143952393500187,17143952534809587
P9WGW9,17143952659002664,
P9WGT3,,17143958754522088
P9WGR1,17143959142081234,17143959273743742
P9WG45,17143959526657188,17143959806488786
P9WFR9,,
P9WQA9,,
P9WPC9,17143961548859262,1714396183186192
P9WFK7,,17143964347572234
P9WP77,17143964636879191,17143964893837953
P9WQD9,17143967199687555,17143967382885246
I6Y0R5,171439684397905,17143968687711637
P71968,17143969057851868,17143969187383249
P9WNL5,17143969302994747,17143969584294999
I6Y8F7,,
P9WPS1,17143972287065945,1714397234849187
I6YDN6,,1714397251443963
P9WFR5,17143972772761476,17143972934528625
P9WGZ1,17143973413519475,1714397358247829
P9WQB7,17143974423157644,17143974525627704
P9WMC1,17143974647338283,17143974788696039
P9WP81,1714397489617735,17143975041559255
P95160,17143975161489813,17143975383541443
P9WGZ9,17143975824908917,17143976092107632
P9WGJ9,1714397674022572,17143976927525623
P9WIL3,17143977339101584,17143977418998873
P9WH87,17143977481630428,17143977588002713
P9WP79,1714397766682402,1714397788637807
P9WP83,17143978400078037,17143978542320662
P9WP15,17143978824290752,17143978916653788
Q6MX01,1714397898284687,17143979059507308
